eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
12.19,38.38,-14.44,42.4286,315.0000,41.0010,306.5701,865280,1161472,1032704,857856
12.56,42.75,-15.69,49.5000,315.0000,45.5375,307.4114,867584,1191936,1057280,858624
11.06,4.38,-5.75,0.0000,330.0000,7.2252,273.3289,883456,1043456,931584,878336
11.44,10.88,-5.81,7.0714,330.0000,12.3309,298.3138,876032,1056256,936448,867072
11.75,16.44,-6.00,14.1429,330.0000,17.4983,306.6970,874496,1073408,945408,861184
11.75,22.37,-5.56,21.2143,330.0000,23.0561,312.7891,872448,1093120,955392,855040
11.50,27.94,-5.25,28.2857,330.0000,28.4265,315.8571,873728,1115904,968704,852736
11.13,33.06,-5.00,35.3571,330.0000,33.4384,317.5254,876544,1143552,984832,850432
10.56,37.81,-4.81,42.4286,330.0000,38.1175,318.3093,880896,1176320,1004544,850176
9.88,42.19,-4.50,49.5000,330.0000,42.4268,318.7865,886016,1211904,1026560,850688
4.88,3.88,-4.63,0.0000,345.0000,6.0338,269.8326,884736,1043712,930048,878336
5.13,9.13,-3.63,7.0714,345.0000,9.8187,298.4591,884224,1058816,931584,866816
5.00,14.69,-1.88,14.1429,345.0000,14.8067,312.7250,883200,1075712,935168,859904
4.69,20.19,0.12,21.2143,345.0000,20.1879,320.0423,884992,1094912,940800,854016
4.44,25.50,2.13,28.2857,345.0000,25.5884,324.2012,887296,1117440,948480,849152
4.31,30.12,3.94,35.3571,345.0000,30.3812,326.7592,891648,1144832,959232,848128
4.06,34.81,5.75,42.4286,345.0000,35.2842,328.4414,897536,1176320,972544,845568
3.81,38.88,7.63,49.5000,345.0000,39.6157,329.9097,903424,1209088,987392,845568
0.00,3.25,-5.00,0.0000,0.0000,5.9634,258.0239,883200,1039360,926720,877824
0.31,8.13,-1.37,7.0714,0.0000,8.2405,305.7073,884992,1053440,925696,868096
0.63,12.31,1.44,14.1429,0.0000,12.3961,322.2842,888832,1066240,924928,861440
0.81,15.94,3.94,21.2143,0.0000,16.4167,329.6900,892672,1083648,926208,855808
0.75,19.81,6.50,28.2857,0.0000,20.8515,333.9134,899328,1104128,929536,851456
0.44,23.75,9.56,35.3571,0.0000,25.6028,337.3688,906496,1128192,935168,849408
0.12,27.50,12.63,42.4286,0.0000,30.2596,339.7844,915200,1153536,940032,847104
359.63,31.25,16.12,49.5000,0.0000,35.1650,341.9187,923904,1182976,946944,845056
