eul_x, eul_y, eul_z, theta_ref, phi_ref, theta, phi, h0, h1, h2, h3
351.13,7.13,-7.19,14.1429,240.0000,10.1206,260.8748,995072,882432,1522944,954624
351.44,8.44,-13.63,21.2143,240.0000,16.0260,248.2060,987904,879872,1544448,963328
351.88,9.19,-19.75,28.2857,240.0000,21.7824,241.8224,983808,880384,1570304,975616
352.25,9.81,-25.31,35.3571,240.0000,27.1479,238.4390,980224,878336,1587456,986880
352.56,10.31,-30.81,42.4286,240.0000,32.4924,236.0671,978432,877312,1606400,1000704
352.94,10.63,-35.38,49.5000,240.0000,36.9362,234.6553,977408,878592,1628672,1016832
355.31,7.88,2.00,0.0000,255.0000,8.1250,324.5625,1006848,889344,1488896,942080
355.06,10.44,-3.63,7.0714,255.0000,11.0491,290.9101,996096,888576,1508608,943360
355.38,12.25,-9.06,14.1429,255.0000,15.2378,273.8811,984576,888832,1528576,947456
355.81,14.31,-14.25,21.2143,255.0000,20.1968,265.9379,985088,890368,1551616,954112
356.25,16.19,-19.37,28.2857,255.0000,25.2473,261.1282,980224,891904,1573888,960768
356.75,17.94,-24.25,35.3571,255.0000,30.1632,258.2400,976896,893952,1596416,968960
357.19,19.37,-29.00,42.4286,255.0000,34.8768,255.9345,974336,894976,1612800,976640
357.69,20.44,-33.38,49.5000,255.0000,39.1354,254.1691,972032,897024,1633536,986368
357.50,0.81,3.06,0.0000,270.0000,3.1684,27.6414,1011456,880640,1478656,944640
357.44,4.38,-1.06,7.0714,270.0000,4.5022,298.7871,999424,884992,1499904,945408
357.63,8.13,-6.13,14.1429,270.0000,10.1750,275.6143,993024,889088,1521408,947200
357.75,12.38,-11.31,21.2143,270.0000,16.7664,270.3183,985600,890880,1542656,948736
357.88,16.12,-16.00,28.2857,270.0000,22.7160,268.0979,981760,897280,1569536,953856
358.00,19.44,-20.50,35.3571,270.0000,28.2501,266.4761,977664,901888,1589504,957184
358.13,22.44,-24.62,42.4286,270.0000,33.3141,265.4638,967168,905216,1604096,959232
358.25,25.00,-28.56,49.5000,270.0000,37.9581,264.4448,971520,912640,1627392,966144
357.44,7.69,3.94,0.0000,285.0000,8.6372,339.5588,1005056,892928,1483776,934144
357.13,13.38,0.75,7.0714,285.0000,13.3960,315.3345,996352,899584,1502464,931328
357.38,18.50,-2.94,14.1429,285.0000,18.7318,303.3527,990464,907520,1522176,931328
357.88,22.87,-6.44,21.2143,285.0000,23.7636,297.1573,985344,916992,1544448,932096
358.50,26.75,-10.00,28.2857,285.0000,28.5581,293.0027,982784,928000,1568768,934400
359.00,30.44,-13.38,35.3571,285.0000,33.2465,290.2781,980992,941056,1594368,937216
359.19,33.81,-16.44,42.4286,285.0000,37.5962,288.2614,978688,951808,1611776,938240
359.13,36.88,-19.81,49.5000,285.0000,41.8605,285.8764,976640,964096,1634560,940032
354.88,7.44,3.38,0.0000,300.0000,8.1674,334.2827,1007616,889600,1485824,941312
354.75,13.56,1.37,7.0714,300.0000,13.6320,315.5390,998144,900608,1502464,934144
355.00,19.37,-0.69,14.1429,300.0000,19.3872,307.9678,992000,913664,1521408,929792
355.50,24.69,-2.81,21.2143,300.0000,24.8472,304.0007,987904,929024,1543936,927744
