"[82, 71, 43, 56]","[1401600, 1289472, 1188608, 1187072]"
"[73, 68, 49, 57]","[1391616, 1305600, 1180160, 1144832]"
"[68, 67, 51, 58]","[1392384, 1325568, 1176576, 1116928]"
"[63, 65, 56, 56]","[1396480, 1366784, 1172480, 1097216]"
"[59, 63, 60, 57]","[1403136, 1408768, 1174016, 1083904]"
"[62, 58, 55, 59]","[1310208, 1373184, 1195520, 1103872]"
"[67, 57, 53, 66]","[1242658, 1352704, 1222912, 1121792]"
"[72, 55, 50, 68]","[1203968, 1330688, 1256192, 1143296]"
"[78, 52, 47, 73]","[1167616, 1311232, 1321216, 1176320]"
"[86, 50, 43, 80]","[1138688, 1293056, 1484800, 1213184]"
"[94, 49, 40, 88]","[1114624, 1277696, 1664256, 1325824]"
"[104, 47, 37, 95]","[1092352, 1264384, 1866496, 1462784]"
"[115, 44, 35, 106]","[1071616, 1252352, 2080512, 1613056]"
"[106, 47, 37, 96]","[1089024, 1258496, 1780992, 1400832]"
"[95, 49, 39, 88]","[1115648, 1271296, 1553920, 1246208]"
"[87, 50, 43, 80]","[1142784, 1289472, 1391616, 1186048]"
"[78, 52, 46, 73]","[1174528, 1308160, 1277952, 1152768]"
"[74, 55, 49, 69]","[1234944, 1328640, 1238784, 1130752]"
"[68, 57, 52, 65]","[1290752, 1347072, 1212416, 1116160]"
"[64, 58, 56, 60]","[1325824, 1376512, 1188096, 1101056]"
